,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
60,DENTON,66770,41712,1256,839,589,416,340,330,55,4505,3888,33,4745,3747,2860,584,4161,208,162374,909,5.6,3085,591,19.2%,400,83,1,0,596,3.7,241,579,416,493,0,241,5,110,60,120,410,3698021,3,31,8,269,134901.62,579,32,17647.55,909,162374,13379,103938,35584,411,9062,,,,,,,126340,234,31147,78,930,217,211,162374,1,206,1,0,1,0,209,638,539,0,114,0,653,,,
61,DEWITT,1639,3774,101,84,41,31,0,0,0,266,215,1,301,254,244,28,273,12,4686,44,9.4,160,22,13.8%,60,5,,,48,10.2,16,50,30,35,0,22,0,9,6,1,30,572516,0,0,0,2,4079.07,50,0,0.00,18,4686,588,1971,2108,1,18,,,,,,,3804,7,355,2,24,3,1,4686,0,8,1,0,0,0,9,76,48,0,0,0,48,,,
62,DICKENS,220,617,21,18,15,28,0,0,0,18,16,0,33,16,16,8,25,2,451,15,33.3,15,7,46.7%,0,0,,,19,42.1,5,17,10,16,0,5,2,0,0,9,10,193145,0,0,0,0,0.00,17,0,0.00,20,451,14,295,142,0,0,,,,,,,364,0,0,1,12,0,1,451,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
63,DIMMIT,852,1397,62,48,21,14,1,1,0,125,116,2,165,122,120,34,131,22,2678,41,15.3,83,19,22.9%,32,7,,,99,37.0,28,99,59,52,0,28,4,6,10,7,59,807642,0,0,1,5,1610.00,99,2,424.13,19,2678,17,232,2407,0,22,,,,,,,2093,5,317,0,0,4,0,2678,0,2,0,0,0,0,2,3,7,0,0,0,7,,,
64,DONLEY,318,943,32,30,24,47,0,0,0,60,52,0,75,49,35,19,56,2,739,24,32.5,39,13,33.3%,11,1,1,0,17,23.0,5,17,16,10,0,5,0,2,1,3,16,280417,0,1,0,1,84.00,17,1,361.82,24,739,81,575,81,0,2,,,,,,,563,0,0,2,24,3,1,739,0,3,0,0,0,0,3,9,5,0,0,0,5,,,
65,DUVAL,1069,1839,68,62,35,31,0,0,0,149,141,0,241,179,154,49,192,19,3158,58,18.4,123,33,26.8%,88,24,1,0,32,10.1,18,34,24,27,0,18,0,0,0,11,24,341151,0,0,0,4,1317.88,34,6,1070.84,95,3158,5,280,2856,2,15,,,,,,,2511,6,212,0,0,1,2,3158,0,1,0,0,0,0,1,6,5,0,0,0,5,,,
66,EASTLAND,1374,4145,232,191,143,124,26,26,5,251,188,3,254,184,175,35,219,9,4269,65,15.2,167,43,25.7%,35,11,,,38,8.9,9,37,28,32,0,9,15,1,1,7,28,404763,1,1,1,14,12482.80,37,1,27.00,63,4269,76,3372,802,4,15,,,,,,,3430,9,304,1,12,5,1,4269,0,14,0,0,0,0,14,45,89,0,0,0,89,,,
67,ECTOR,10303,15391,804,659,489,641,1,1,0,2108,1824,16,2547,1752,1480,537,2010,124,38841,721,18.6,1476,418,28.3%,602,161,4,0,409,10.5,164,396,298,327,0,166,12,47,20,102,296,4655717,0,12,6,152,164142.31,395,82,12671.88,761,38841,2049,11116,25117,91,468,,,,,,,31671,46,4372,12,144,88,5,38841,1,50,0,0,0,0,51,132,109,0,38,0,147,,,
68,EDWARDS,176,518,5,4,2,5,0,0,0,14,14,0,17,12,11,5,12,5,444,5,11.3,9,2,22.2%,0,0,,,13,29.3,5,13,1,7,0,1,0,6,0,0,5,5059,0,0,0,0,0.00,13,0,0.00,2,444,0,150,292,2,0,,,,,,,325,2,79,0,0,0,0,444,0,0,0,0,0,0,0,0,14,0,0,7,21,,,
69,ELLIS,13590,15118,406,325,218,253,6,5,0,1269,1130,7,1235,970,790,176,1059,41,42250,239,5.7,721,143,19.8%,228,53,1,0,111,2.6,45,103,66,91,0,38,2,12,11,48,71,917043,1,14,2,67,21630.24,103,20,5810.72,293,42250,4128,23432,14259,41,390,,,,,,,32120,61,6625,7,84,58,31,42250,3,87,2,0,0,0,92,459,124,0,50,0,174,,,
70,EL PASO,62126,75912,3930,3389,2296,2574,236,242,39,7369,6307,54,9013,6304,5183,1525,7488,173,227531,2429,10.7,5173,1370,26.5%,905,216,6,0,843,3.7,268,820,609,662,0,290,39,100,77,254,601,6911899,5,38,15,246,266399.73,820,68,10832.23,2906,227531,5760,17879,200602,414,2876,,,,,,,187511,275,25702,147,1745,381,98,227531,8,213,5,0,0,0,226,906,1021,1556,98,0,2675,,,
71,ERATH,2918,4678,167,105,73,108,9,11,4,357,330,4,415,280,225,65,350,20,9233,129,14.0,256,74,28.9%,56,15,1,0,51,5.5,24,52,41,40,0,24,3,1,0,13,40,329157,0,1,1,26,5188.41,52,5,1072.31,86,9233,72,6295,2816,10,40,,,,,,,7347,14,936,7,84,9,19,9233,1,14,1,0,0,0,16,122,282,0,9,0,291,,,
72,FALLS,1458,2955,98,71,39,26,6,6,1,167,142,1,195,138,132,39,156,2,4281,49,11.4,115,28,24.3%,31,0,,,21,4.9,11,21,15,14,0,11,0,1,1,4,15,236746,0,1,1,1,4425.00,21,0,0.00,36,4281,1318,1730,1223,1,9,,,,,,,3319,4,257,1,12,5,1,4281,0,8,1,0,1,0,10,120,13,0,0,0,13,,,
73,FANNIN,2804,6182,179,136,109,93,0,0,0,338,321,2,333,270,217,47,286,16,7598,56,7.4,193,35,18.1%,57,10,,,41,5.4,15,38,34,33,0,17,0,5,7,10,34,428141,1,4,0,21,6793.56,38,1,565.00,73,7598,523,6178,820,17,60,,,,,,,5728,8,548,1,12,11,5,7598,0,10,0,0,0,0,10,28,94,0,1,0,95,,,
74,FAYETTE,2015,5168,112,89,41,51,0,0,0,159,129,0,214,130,116,33,181,27,5455,72,13.2,131,44,33.6%,30,13,,,71,13.0,25,69,32,45,0,29,0,4,3,13,32,501849,0,2,1,2,346.33,69,1,28.70,55,5455,554,3171,1713,2,15,,,,,,,4219,9,487,6,72,11,2,5455,0,5,0,0,1,0,6,32,61,0,32,0,93,,,
75,FISHER,320,973,29,24,14,9,0,0,0,47,45,0,53,34,27,16,37,1,816,15,18.4,37,10,27.0%,7,2,,,5,6.1,1,5,5,2,0,1,0,0,0,1,5,88530,0,1,0,2,1460.05,5,0,0.00,14,816,12,523,278,0,3,,,,,,,599,0,0,0,0,1,0,816,0,1,0,0,0,0,1,4,1,0,0,0,1,,,
76,FLOYD,573,1178,27,24,22,56,0,0,0,88,77,0,128,76,61,35,93,11,1864,50,26.8,63,18,28.6%,3,3,,,30,16.1,14,30,25,20,0,14,0,2,4,2,23,200231,0,0,1,3,1582.50,30,0,0.00,28,1864,90,659,1109,0,6,,,,,,,1486,2,227,1,12,0,1,1864,0,2,0,0,0,0,2,4,20,0,0,0,20,,,
77,FOARD,116,388,13,11,10,7,0,0,0,14,12,0,19,16,15,3,16,0,322,3,9.3,9,1,11.1%,9,4,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,3,322,19,224,76,0,3,,,,,,,230,1,35,0,0,1,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,FORT BEND,57104,44698,817,629,347,300,291,298,50,2732,2426,21,3254,2428,1825,574,2680,88,137850,688,5.0,2032,435,21.4%,354,24,4,0,298,2.2,82,270,152,232,0,90,12,26,14,124,149,2173556,7,30,29,138,97525.30,270,118,45834.19,1225,137850,30703,48480,41211,192,17264,,,,,,,96595,250,32379,22,264,100,213,137850,3,270,2,0,5,0,280,1086,283,0,83,0,366,,,
79,FRANKLIN,793,2592,44,38,23,27,5,5,0,108,83,0,97,78,69,15,82,2,2272,17,7.5,61,10,16.4%,37,3,,,14,6.2,3,12,10,14,0,3,0,2,2,7,10,18716,0,1,0,8,9581.55,12,1,1518.23,40,2272,128,1595,537,2,10,,,,,,,1716,5,287,1,12,5,0,2272,0,3,0,0,0,0,3,9,22,0,0,0,22,,,
80,FREESTONE,1612,3526,97,72,41,41,3,3,0,164,140,0,184,147,137,22,162,7,4715,29,6.2,107,18,16.8%,47,15,,,26,5.5,6,29,25,18,0,6,5,4,1,6,24,455341,0,1,0,0,0.00,29,0,0.00,36,4715,851,3090,740,8,26,,,,,,,3742,9,534,1,12,10,4,4715,0,8,1,0,0,0,9,78,13,0,0,0,13,,,
81,FRIO,1394,2187,69,46,34,39,0,0,0,236,215,3,273,178,174,62,211,25,4942,82,16.6,138,38,27.5%,42,8,,,74,15.0,29,75,47,45,0,27,0,8,7,10,49,574138,0,0,1,2,5555.00,75,5,183.00,58,4942,8,526,4381,5,22,,,,,,,3990,6,481,2,24,10,2,4942,0,14,0,0,0,0,14,62,14,0,0,16,30,,,
82,GAINES,1204,1884,44,37,23,18,0,0,0,113,103,0,185,119,95,47,138,19,5172,62,12.0,100,32,32.0%,30,2,,,40,7.7,16,40,31,31,0,17,1,9,2,10,28,280161,0,1,0,5,4292.22,40,1,27.00,56,5172,65,2511,2580,2,14,,,,,,,4222,2,102,4,48,4,1,5172,0,6,0,0,0,0,6,15,8,0,0,0,8,,,
83,GALVESTON,25660,33635,1257,991,513,495,23,26,4,2946,2624,19,3575,2980,2481,599,2976,76,71609,537,7.5,2139,344,16.1%,991,135,2,0,348,4.9,124,315,174,279,0,127,8,51,12,111,162,2128034,2,23,8,84,68875.64,315,73,28768.35,1125,71609,13050,32892,22998,129,2540,,,,,,,56313,133,14307,16,185,76,76,71609,1,97,2,0,1,0,101,367,371,770,3,160,1304,,,
84,GARZA,435,838,53,54,44,70,0,0,0,66,64,0,116,61,54,30,86,6,1265,53,41.9,64,28,43.8%,1,0,,,22,17.4,9,22,18,18,0,9,3,1,3,2,18,250283,0,1,1,0,0.00,22,0,0.00,49,1265,62,600,596,3,4,,,,,,,996,2,80,0,0,3,0,1265,0,2,0,0,0,0,2,2,2,0,0,0,2,,,
85,GILLESPIE,1897,7788,90,70,37,21,1,1,0,167,142,0,202,147,145,39,163,17,4675,52,11.1,122,33,27.0%,30,7,,,61,13.0,25,58,45,53,0,25,0,8,4,19,45,615347,0,2,0,4,6217.00,58,3,140.10,55,4675,4,2969,1684,2,16,,,,,,,3518,8,416,5,60,7,4,4675,0,9,0,0,0,0,9,30,45,0,29,0,74,,,
86,GLASSCOCK,124,244,7,7,6,8,0,0,0,4,4,0,3,3,3,0,3,0,372,0,0.0,2,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,372,3,215,154,0,0,,,,,,,266,1,12,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,GOLIAD,638,1407,19,19,6,6,0,0,0,82,69,0,94,58,57,14,80,2,1734,32,18.5,58,19,32.8%,9,2,,,6,3.5,2,7,7,5,0,2,3,1,0,0,7,168900,1,0,0,0,0.00,7,0,0.00,14,1734,86,638,1005,1,4,,,,,,,1369,2,156,0,0,2,0,1734,0,8,1,0,0,0,9,57,21,0,1,0,22,,,
88,GONZALES,1621,3198,113,96,54,53,4,3,0,304,264,3,290,232,194,26,264,10,5435,53,9.8,170,36,21.2%,74,7,,,22,4.0,12,23,17,16,0,12,0,0,3,1,17,197229,0,0,0,2,4500.00,23,4,108.00,35,5435,612,1790,3011,3,19,,,,,,,4392,8,473,1,12,8,1,5435,0,3,0,0,1,0,4,86,93,0,0,0,93,,,
89,GRAY,1693,4216,147,129,96,141,1,1,0,347,324,5,375,250,169,85,290,46,5161,121,23.4,216,65,30.1%,88,14,1,0,160,31.0,74,153,87,136,0,74,12,18,11,29,87,1207147,0,1,0,8,9356.91,153,17,2777.01,138,5161,246,3558,1277,8,72,,,,,,,3981,11,782,0,0,4,0,5161,0,4,0,0,0,0,4,12,39,0,0,0,39,,,
90,GRAYSON,9907,17987,870,669,488,444,33,23,2,1664,1444,12,1875,1545,1206,149,1726,36,28207,289,10.2,1145,187,16.3%,113,18,3,0,163,5.8,45,161,129,133,0,45,1,39,37,37,128,1619084,2,12,3,95,78865.27,161,3,253.89,276,28207,2545,19927,4889,202,644,,,,,,,22423,35,3093,8,96,40,22,28207,0,33,1,0,0,0,34,94,321,0,38,0,359,,,
91,GREGG,9565,16937,743,590,426,555,103,105,23,1433,1269,13,1692,1345,1183,230,1462,92,31957,313,9.8,1036,186,18.0%,372,75,2,0,287,9.0,105,284,209,222,0,108,2,32,48,43,203,2874553,0,3,13,55,60377.88,284,30,6495.76,342,31957,7708,15664,8070,39,476,,,,,,,25237,53,5756,3,36,45,20,31957,2,43,0,0,0,0,45,95,305,0,0,31,336,,,
92,GRIMES,2260,4047,136,101,72,65,0,0,0,260,219,0,309,252,224,21,288,6,6213,55,8.9,179,33,18.4%,53,24,,,40,6.4,9,40,24,23,0,9,0,8,1,7,24,442185,2,4,2,4,943.50,40,1,790.71,58,6213,1357,3253,1573,2,28,,,,,,,5015,7,296,9,107,6,4,6213,0,10,0,0,0,0,10,22,119,0,0,0,119,,,
93,GUADALUPE,10954,14884,473,390,213,211,30,30,5,1366,1123,13,1534,1132,987,258,1276,61,31772,358,11.3,929,214,23.0%,193,39,2,0,182,5.7,88,179,91,155,0,88,3,39,19,34,90,1041673,0,4,7,11,14696.14,179,35,8437.90,447,31772,1856,13572,15921,28,395,,,,,,,22975,35,2775,7,80,34,34,31772,1,69,1,0,1,0,72,240,133,0,15,11,159,,,
94,HALE,2793,4584,147,117,77,91,8,8,1,471,434,4,596,401,344,118,478,44,10966,182,16.6,316,99,31.3%,82,13,,,132,12.0,48,125,99,100,0,47,4,10,16,30,100,1313240,0,5,0,15,21633.27,125,10,942.91,196,10966,550,3071,7288,8,49,,,,,,,8842,8,863,7,84,17,6,10966,0,15,0,0,0,0,15,45,58,0,10,0,68,,,
95,HALL,276,780,25,23,19,48,0,0,0,39,38,0,41,18,11,10,31,3,1003,18,17.9,23,9,39.1%,3,0,,,15,15.0,5,15,9,7,0,5,0,0,1,3,9,191249,0,0,0,0,$0.00,15,0,$0.00,13,1003,78,434,487,2,2,,,,,,,772,1,47,0,0,2,0,1003,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
96,HAMILTON,644,2136,34,31,16,10,0,0,0,95,86,2,120,88,79,23,97,4,1927,31,16.1,68,18,26.5%,13,7,,,21,10.9,7,21,15,19,0,7,4,3,1,4,14,205948,0,1,2,2,$544.25,21,0,$0.00,37,1927,0,1616,306,1,4,,,,,,,1476,3,131,4,48,4,5,1927,1,6,0,0,0,0,7,14,30,0,0,0,30,,,
97,HANSFORD,423,800,8,9,7,8,0,0,0,33,30,0,39,29,27,6,33,3,1436,10,7.0,24,6,25.0%,0,0,,,6,4.2,3,6,3,5,0,3,2,0,0,2,3,75774,0,0,0,0,0.00,6,0,0.00,9,1436,5,663,763,0,5,,,,,,,1149,2,89,0,0,9,2,1436,0,0,0,0,0,0,0,0,8,0,13,0,21,,,
98,HARDEMAN,355,918,91,79,59,50,1,1,0,64,56,0,70,47,40,18,52,0,1011,19,18.8,43,10,23.3%,8,0,,,7,6.9,0,6,6,3,0,0,0,0,0,3,6,63809,0,2,0,1,1038.83,6,0,0.00,20,1011,38,684,281,1,7,,,,,,,791,2,95,5,60,2,1,1011,0,2,0,0,0,0,2,7,45,0,0,0,45,,,
99,HARDIN,4283,7215,231,201,139,194,6,7,0,657,551,4,674,531,501,57,617,13,12282,125,10.2,414,89,21.5%,55,10,1,0,65,5.3,10,64,48,49,0,10,5,7,14,16,46,601514,0,7,5,26,35973.05,64,7,402.48,99,12282,1351,10405,455,5,66,,,,,,,9295,13,1525,0,0,5,4,12282,0,19,1,0,0,0,20,72,32,0,0,0,32,,,
100,HARRIS,339503,319258,13708,10913,7231,7577,461,427,52,32074,27565,233,36198,29813,23252,4988,31210,1842,1117039,5493,4.9,22097,3597,16.3%,6572,688,38,0,8057,7.2,2388,7878,4888,5822,3,2501,255,1154,839,1631,4769,63261110,25,183,157,2851,3163802.89,7878,604,216323.72,10946,1117039,204360,264752,582875,1511,63541,,,,,,,900983,1521,171231,169,1997,1041,1660,1117039,44,1460,19,3,25,1,1552,5743,1197,2730,474,1,4402,,,
101,HARRISON,5424,9975,309,246,187,242,9,8,3,687,639,8,962,720,636,110,852,41,15597,219,14.0,564,134,23.8%,100,17,,,138,8.8,52,132,100,103,0,52,0,4,7,47,98,1217561,1,9,1,33,25672.60,132,9,706.97,190,15597,3843,9153,2501,12,88,,,,,,,12024,19,1830,5,60,29,9,15597,0,17,2,0,1,0,20,164,191,0,64,9,264,,,
102,HARTLEY,498,756,18,18,12,8,0,0,0,15,13,0,18,13,11,5,13,0,1297,5,3.9,12,3,25.0%,7,3,,,0,0.0,0,1,1,0,0,0,0,0,0,0,1,13668,0,0,0,0,0.00,1,0,0.00,4,1297,5,1142,148,0,2,,,,,,,1078,1,150,0,0,1,1,1297,0,2,0,0,0,0,2,8,12,0,0,0,12,,,
103,HASKELL,450,1324,45,41,28,11,0,0,0,83,69,3,78,60,43,14,64,6,1295,16,12.4,43,9,20.9%,10,0,1,0,6,4.6,6,6,6,6,0,6,0,0,0,0,6,32760,0,1,0,0,0.00,6,1,35.00,15,1295,46,775,469,1,4,,,,,,,1033,2,105,1,12,4,1,1295,0,1,0,0,0,0,1,2,24,0,1,0,25,,,
104,HAYS,15190,14147,344,312,159,156,28,28,2,1296,1131,7,1520,1224,1141,111,1409,47,34231,261,7.6,943,167,17.7%,131,20,1,0,177,5.2,82,176,108,151,0,80,11,7,17,62,109,1052153,1,5,7,12,11379.15,176,3,338.45,188,34231,1184,16914,15664,36,433,,,,,,,27063,80,5686,12,132,55,34,34231,2,75,1,0,2,0,80,498,581,0,84,0,665,,,
105,HEMPHILL,277,636,1,1,1,0,0,0,0,18,17,0,25,19,10,6,19,1,846,6,7.1,12,3,25.0%,11,0,,,2,2.4,1,2,1,1,0,1,0,1,0,0,1,31908,0,1,0,6,360.00,2,3,252.00,10,846,0,577,267,1,1,,,,,,,685,1,98,0,0,2,0,846,0,1,0,0,0,0,1,5,1,0,0,0,1,,,
106,HENDERSON,6618,15865,652,580,440,714,6,5,0,1093,944,8,1237,889,728,217,1020,88,18230,319,17.5,742,181,24.4%,317,60,,,264,14.5,106,246,166,220,0,108,5,38,24,72,166,1978377,1,10,5,103,77349.59,246,56,5423.34,381,18230,1815,12642,3631,16,126,,,,,,,14231,15,1593,4,48,17,3,18230,0,35,0,0,0,0,35,102,128,0,0,0,128,,,
107,HIDALGO,61239,72243,2934,2561,1502,1832,30,30,4,9002,8065,65,12397,9108,7871,2252,10145,386,259479,2837,10.9,6770,1543,22.8%,2000,482,8,1,959,3.7,615,952,783,822,0,613,76,6,4,243,777,7033019,2,18,6,267,218832.41,952,260,47118.64,4539,259479,332,11649,244956,128,2414,,,,,,,210469,396,28406,113,1355,125,133,259479,6,131,1,0,0,0,138,621,599,3701,539,0,4839,,,
108,HILL,2799,6899,212,181,104,92,0,0,0,393,359,3,564,417,393,62,502,20,9364,122,13.0,325,83,25.5%,50,11,,,57,6.1,18,52,36,48,0,19,0,8,7,22,34,464709,0,1,1,8,15471.75,52,14,4350.01,117,9364,1011,5670,2655,4,24,,,,,,,7362,12,621,2,24,13,3,9364,0,6,1,0,0,0,7,91,51,0,13,0,64,,,
109,HOCKLEY,1845,3196,137,109,93,173,10,9,3,274,251,2,378,202,194,123,255,21,6614,161,24.3,208,88,42.3%,47,12,,,96,14.5,21,91,83,47,0,22,4,9,5,9,82,1271625,0,4,2,19,17956.11,91,4,165.00,208,6614,233,2873,3488,4,16,,,,,,,5391,10,641,6,72,13,0,6614,0,18,0,0,2,0,20,120,64,0,0,0,64,,,
110,HOOD,4381,11913,248,160,122,111,0,3,0,650,590,6,749,469,402,145,604,39,10577,268,25.3,458,162,35.4%,78,31,,,94,8.9,40,94,75,77,0,40,4,5,8,24,72,832906,0,0,3,52,20240.70,94,1,282.75,203,10577,27,8381,2072,18,79,,,,,,,7978,17,1295,4,48,13,12,10577,0,8,0,0,0,0,8,10,19,0,7,0,26,,,
111,HOPKINS,2651,5804,183,172,111,151,0,0,0,428,350,4,463,390,348,39,424,11,8844,66,7.5,271,38,14.0%,54,11,,,77,8.7,29,67,47,67,0,29,4,5,0,43,44,509478,0,3,1,25,18029.80,67,10,1555.73,115,8844,806,6359,1604,8,67,,,,,,,6949,12,1168,4,48,14,2,8844,1,17,0,0,0,0,18,47,154,0,9,0,163,,,
112,HOUSTON,1981,4867,350,323,281,176,0,0,0,243,206,1,294,249,229,30,264,21,4926,42,8.5,170,21,12.4%,16,7,1,0,45,9.1,20,42,39,34,0,20,5,3,2,6,40,416316,0,4,0,21,11164.14,42,8,673.25,32,4926,1627,2661,618,2,18,,,,,,,3883,3,162,3,36,7,7,4926,0,9,0,0,0,0,9,34,29,0,0,0,29,,,
113,HOWARD,2816,4969,373,299,217,89,198,183,5,540,488,5,839,645,573,136,703,17,7696,162,21.0,459,104,22.7%,161,43,1,1,108,14.0,36,103,65,96,0,36,3,17,4,52,64,929798,0,4,2,35,30396.84,103,24,3854.40,258,7696,337,3495,3796,12,56,,,,,,,6157,12,1194,0,0,4,2,7696,1,16,0,0,0,0,17,33,9,0,23,1,33,,,
114,HUDSPETH,311,589,15,12,7,19,0,0,0,24,20,0,30,22,20,4,26,0,904,6,6.6,17,2,11.8%,0,0,,,3,3.3,0,3,3,0,0,0,0,0,0,0,3,65634,0,0,0,0,0.00,3,0,0.00,3,904,0,137,764,0,3,,,,,,,635,2,51,0,0,3,0,904,0,0,0,0,0,0,0,0,7,0,0,0,7,,,
115,HUNT,7497,11411,640,483,412,434,21,21,0,1018,921,12,1004,768,572,142,862,93,21239,213,10.0,590,138,23.4%,193,40,1,0,256,12.1,100,246,166,234,0,99,3,60,60,75,165,1478932,0,15,3,132,58022.63,246,4,523.54,228,21239,2944,14059,3861,57,318,,,,,,,16482,23,2586,4,48,32,9,21239,0,39,1,0,1,0,41,191,262,0,116,0,378,,,
116,HUTCHINSON,1770,3752,139,121,95,97,1,0,0,270,240,4,332,259,235,48,284,11,6092,65,10.7,206,42,20.4%,84,14,2,0,54,8.9,23,56,27,46,0,27,3,4,3,10,28,556251,1,4,0,7,7204.00,56,11,1388.56,102,6092,193,4208,1617,19,55,,,,,,,4855,5,288,4,48,11,4,6092,0,14,0,0,0,0,14,53,26,0,0,0,26,,,
117,IRION,157,419,7,4,3,8,0,0,0,16,16,0,26,24,22,3,23,2,292,2,6.8,14,1,7.1%,0,0,,,6,20.5,3,6,6,3,0,3,0,0,0,0,6,42408,0,0,0,0,0.00,6,1,35.00,3,292,1,201,90,0,0,,,,,,,204,1,20,0,0,1,0,292,0,1,0,0,0,0,1,3,1,0,1,0,2,,,
118,JACK,700,1548,84,70,61,39,0,0,0,75,63,0,97,78,58,16,81,5,1967,18,9.2,53,12,22.6%,18,6,,,17,8.6,8,17,6,11,0,8,0,0,1,2,6,186743,0,3,1,2,5180.00,17,0,0.00,60,1967,16,1686,241,2,22,,,,,,,1550,2,84,3,36,4,2,1967,0,4,0,0,0,0,4,7,9,0,0,0,9,,,
119,JACKSON,1172,2406,37,40,24,7,0,0,0,135,116,0,137,106,97,12,125,0,3988,26,6.5,82,14,17.1%,29,7,,,5,1.3,1,5,3,3,0,2,0,0,0,2,3,70282,0,5,0,0,0.00,5,1,247.50,25,3988,303,2129,1518,5,33,,,,,,,3201,5,254,7,84,14,3,3988,0,9,0,0,0,0,9,36,114,0,0,0,114,,,
120,JASPER,2828,6206,359,301,204,176,2,1,0,422,379,5,577,467,386,58,519,3,8642,103,11.9,339,63,18.6%,49,5,,,49,5.7,8,48,36,41,0,8,7,8,6,15,37,539536,1,7,3,15,6353.21,48,3,188.03,114,8642,2030,5885,648,11,68,,,,,,,6786,7,879,1,12,6,4,8642,0,16,0,0,0,0,16,48,65,0,0,0,65,,,
121,JEFF DAVIS,241,653,12,10,9,15,0,0,0,12,11,0,26,22,21,2,24,0,423,4,9.5,13,2,15.4%,3,1,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1,339.30,16,423,8,244,170,0,1,,,,,,,335,0,0,0,0,2,0,423,0,0,0,0,1,0,1,84,1,0,0,0,1,,,
122,JEFFERSON,20561,29547,1838,1437,959,948,106,100,34,2629,2406,20,3390,2651,2344,240,3150,111,60449,618,10.2,2105,427,20.3%,291,57,6,0,305,5.0,126,296,251,247,0,131,13,34,47,57,247,2325209,9,37,17,252,244396.67,296,28,6735.61,514,60449,24476,20136,12731,114,2992,,,,,,,47427,86,8557,7,84,21,26,60449,7,127,4,0,0,0,138,523,318,0,0,0,318,,,
123,JIM HOGG,452,888,35,29,12,21,0,0,0,90,87,0,130,78,66,45,85,3,1444,49,33.9,65,23,35.4%,41,13,,,14,9.7,9,14,2,14,0,9,0,1,0,4,2,37468,0,0,0,1,786.77,14,1,106.07,94,1444,2,116,1323,2,1,,,,,,,1135,3,172,1,12,3,2,1444,0,0,0,0,0,0,0,0,6,0,0,0,6,,,
124,JIM WELLS,3385,5663,255,218,115,106,4,4,0,663,594,7,951,683,626,246,705,44,12090,243,20.1,507,119,23.5%,336,69,1,0,113,9.3,58,108,83,109,0,61,6,6,1,47,86,901543,0,0,1,27,20513.08,108,36,8464.10,409,12090,54,1969,10002,16,49,,,,,,,9498,23,989,1,12,7,2,12090,0,5,0,0,0,0,5,24,221,0,0,0,221,,,
125,JOHNSON,14014,18814,518,437,270,259,28,22,2,2000,1817,14,2263,1519,1094,376,1887,108,44740,672,15.0,1333,391,29.3%,378,89,2,0,413,9.2,151,396,314,354,0,150,5,52,39,135,313,3782490,0,8,8,150,119058.06,396,6,1200.25,879,44740,1334,30657,11932,97,720,,,,,,,33436,37,4508,5,60,30,21,44740,0,66,0,0,0,0,66,210,57,0,2,0,59,,,
